Дата,Доллар США,Евро,Фунт стерлингов,Китайский юань,Японская йена,value_RUB,value_USD,value_EUR,value_GBP,value_JPY,value_CNY
2016-10-14,63.3465,69.7255,77.0293,94.1339,60.9687,10.0,0.43044,-0.404,0.40125,-0.028,2.4943
2016-10-13,62.5892,69.1173,76.8345,93.2247,60.499,10.0,0.431,-0.40686,0.39788,-0.02514,2.4943
2016-12-10,62.1946,69.1231,76.4807,92.6218,59.8975,10.0,0.42878,-0.40686,0.39563,-0.02114,2.4943
2016-11-10,62.3884,69.7253,77.4053,93.0809,60.4568,10.0,0.42767,-0.40686,0.39563,-0.028,2.4943
2016-07-10,62.39,69.8518,79.385,93.5158,60.2249,10.0,0.42656,-0.40686,0.39288,-0.04057,2.4943
2016-06-10,62.4583,70.0782,79.5094,93.6182,60.7512,10.0,0.42878,-0.40471,0.3855,-0.03857,2.4943
2016-05-10,62.4323,69.7556,79.7573,93.5792,61.0018,10.0,0.42822,-0.404,0.38488,-0.03429,2.4943
2016-04-10,62.5477,70.2411,80.4113,93.7522,61.6993,10.0,0.42433,-0.40471,0.38275,-0.03,2.4943
2016-09-30,63.1581,70.8823,82.1813,94.6983,62.2431,10.0,0.42378,-0.40971,0.38275,-0.045,2.4943
2016-09-29,63.9509,71.5738,83.1681,95.8583,63.4843,10.0,0.41989,-0.40186,0.37863,-0.08071,2.4943
2016-09-28,63.6921,71.6409,82.5959,95.5133,63.2965,10.0,0.42063,-0.40413,0.37629,-0.06917,2.4943
2016-09-27,64.1506,72.0604,82.9018,96.1793,63.7617,10.0,0.42544,-0.40186,0.37594,-0.07371,2.4943
2016-09-23,63.7942,71.6728,83.4492,95.6521,63.3822,10.0,0.42322,-0.4,0.37625,-0.07843,2.4943
2016-09-22,64.4424,71.8404,83.5947,96.5965,63.3092,10.0,0.42322,-0.40143,0.37656,-0.08271,2.4943
2016-09-21,64.7513,72.5279,84.2026,97.0595,63.6533,10.0,0.42211,-0.40157,0.37594,-0.07686,2.4943
2016-09-20,64.9173,72.4477,84.8534,97.3156,63.7726,10.0,0.42211,-0.40157,0.37594,-0.09343,2.4943
2016-09-16,65.217,73.2126,86.2625,97.7268,63.6916,10.5,0.42044,-0.40157,0.38031,-0.09629,2.4943
2016-09-15,64.9737,72.946,85.7848,97.3972,62.9499,10.5,0.42156,-0.40157,0.38188,-0.09486,2.4943
2016-09-14,64.8102,72.7559,86.3337,97.0198,63.6361,10.5,0.42211,-0.40071,0.37938,-0.07871,2.4943
2016-09-13,65.0539,73.1986,86.3525,97.389,63.6722,10.5,0.421,-0.40157,0.37938,-0.06657,2.4943
2016-09-09,63.973,72.0464,85.4231,96.0022,63.0059,10.5,0.42156,-0.40071,0.38075,-0.07514,2.4943
2016-08-09,64.3804,72.4022,86.2826,96.6034,63.3509,10.5,0.42211,-0.4,0.37544,-0.08243,2.4943
2016-07-09,64.8306,72.3639,86.4646,97.0474,62.7383,10.5,0.42156,-0.4,0.37825,-0.071,2.4943
2016-06-09,64.7644,72.3742,86.305,97.0239,62.65,10.5,0.42044,-0.40229,0.37925,-0.05814,2.4943
2016-02-09,65.2566,72.6828,85.7667,97.691,62.9951,10.5,0.42044,-0.4,0.38438,-0.07814,2.4943
